,Symbol,Name,Price,Change,Change %,Volume,Avg volume,Market cap,Ration,date/time
36,VSCO,Victoria's Secret & Co.,36.17,+3.21,+9.74%,1.885M,1.834M,3.005B,5.51,29/07/2022 03:51:36
37,BROS,Dutch Bros Inc.,37.80,+3.30,+9.57%,1.02M,1.807M,6.188B,N/A,29/07/2022 03:51:36
38,CRDO,Credo Technology Group Holding Ltd,15.21,+1.32,+9.50%,1.659M,"457,462",2.21B,N/A,29/07/2022 03:51:36
39,AES,The AES Corporation,22.28,+1.93,+9.48%,8.885M,5.617M,14.88B,N/A,29/07/2022 03:51:36
40,ROL,"Rollins, Inc.",38.57,+3.21,+9.08%,3.14M,1.637M,18.994B,57.57,29/07/2022 03:51:36
41,EQIX,"Equinix, Inc.",711.31,+59.10,+9.06%,1.162M,"527,891",70.612B,131.48,29/07/2022 03:51:36
42,CROX,"Crocs, Inc.",66.56,+5.24,+8.55%,2.636M,1.803M,4.098B,5.70,29/07/2022 03:51:36
43,RCL,Royal Caribbean Cruises Ltd.,37.86,+2.95,+8.45%,10.38M,6.171M,10.468B,N/A,29/07/2022 03:51:36
44,PWR,"Quanta Services, Inc.",145.29,+11.32,+8.45%,2.59M,1.572M,20.879B,44.16,29/07/2022 03:51:36
45,TUIFY,TUI AG,0.7800,+0.0599,+8.32%,"44,736","24,360",2.785B,N/A,29/07/2022 03:51:36
46,SCHW,The Charles Schwab Corporation,67.70,+5.19,+8.30%,16.113M,7.951M,128.383B,22.20,29/07/2022 03:51:36
47,HRI,Herc Holdings Inc.,118.13,+8.87,+8.12%,"340,567","285,647",3.534B,12.51,29/07/2022 03:51:36
48,ARES,Ares Management Corporation,71.28,+5.26,+7.97%,1.623M,"928,619",20.922B,34.43,29/07/2022 03:51:36
