,symbol,regularMarketPrice,Change,Change Percentage,previousClose
270,SRUUF,10.37,-0.31,-2.9,10.68
271,HSQVY,14.59,-0.66,-4.33,15.25
272,DKL,48.48,-1.25,-2.51,49.73
273,INGVF,9.801,-0.14,-1.44,9.944
274,AAVMY,11.45,0.0,0.0,11.45
275,SDVKY,15.985,-0.92,-5.45,16.9065
276,ETRN,6.45,-0.12,-1.83,6.57
277,ACOPY,2.81,0.0,0.0,2.81
278,NSANY,7.731,-0.29,-3.6,8.02
279,WAT,325.93,-3.67,-1.11,329.6
280,TRNO,55.87,-0.86,-1.52,56.73
281,IPG,27.43,-0.01,-0.04,27.44
282,ITGR,70.44,-1.39,-1.94,71.83
283,EXP,107.61,-1.78,-1.63,109.39
284,ABM,42.6,0.18,0.42,42.42
285,PPERY,10.41,-0.22,-2.07,10.63
286,NRG,38.15,0.33,0.87,37.82
287,EGP,154.35,-2.04,-1.3,156.39
288,PUBGY,11.85,-0.21,-1.74,12.06
289,BBSEY,4.82,-0.08,-1.63,4.9
290,EPOKY,15.28,-0.67,-4.2,15.95
291,CDW,156.375,-1.71,-1.08,158.08
292,ASAZY,10.47,-0.19,-1.78,10.66
293,AWR,80.36,0.48,0.6,79.88
294,FR,47.25,-0.47,-0.98,47.72
295,BSX,37.18,-0.62,-1.64,37.8
296,TMO,532.86,-3.06,-0.57,535.92
297,SCRYY,2.071,-0.04,-1.85,2.11
298,AVTR,30.85,-0.65,-2.06,31.5
299,RQI,13.44,-0.05,-0.37,13.49
300,VMC,141.085,-2.19,-1.53,143.28
301,IR,42.19,-0.09,-0.21,42.28
302,PARAA,27.227,-0.67,-2.41,27.9
303,CCOZF,0.8109,0.0,0.0,0.8109
304,TGOPF,13.7,0.0,0.0,13.7
305,GCHOY,9.32,0.0,0.0,9.32
306,PYCR,25.52,-1.26,-4.71,26.78
307,VLOWY,2.4,-0.1,-4.0,2.5
308,UNFI,39.295,-0.43,-1.09,39.73
309,DNKEY,7.0,-0.18,-2.51,7.18
310,GNW,3.505,-0.02,-0.43,3.52
311,RYAN,38.85,0.26,0.67,38.59
312,ACT,20.82,-0.11,-0.53,20.93
313,AIRC,41.33,-0.23,-0.55,41.56
314,CRGY,12.71,-0.08,-0.63,12.79
315,MOH,279.13,-2.33,-0.83,281.46
316,ENIA,4.81,-0.24,-4.75,5.05
317,CNC,84.62,-0.32,-0.38,84.94
318,ENIC,1.094,-0.05,-4.04,1.14
319,RAD,6.92,-0.4,-5.46,7.32
320,SHOP.TO,40.705,-1.89,-4.43,42.59
321,2168.HK,4.56,0.1,2.24,4.46
322,0700.HK,354.4,-10.6,-2.9,365.0
323,3690.HK,194.2,-8.6,-4.24,202.8
324,9618.HK,252.8,1.4,0.56,251.4
325,VMI,220.655,-1.37,-0.61,222.02
326,ETWO,7.759,-0.34,-4.21,8.1
327,POOL,347.675,-2.31,-0.66,349.98
328,STLD,65.82,-1.01,-1.51,66.83
329,WSO,239.29,1.31,0.55,237.98
330,DLAKY,5.63,-0.46,-7.55,6.09
331,NUE,103.97,-2.28,-2.15,106.25
332,ABB,26.38,-0.5,-1.86,26.88
333,DOW,51.49,-0.49,-0.94,51.98
334,EADSY,23.845,-0.19,-0.77,24.03
335,ALV,71.155,-3.19,-4.28,74.34
336,CPA,61.26,-0.83,-1.34,62.09
337,PPRUY,50.455,-1.64,-3.14,52.09
338,WCC,105.445,-2.0,-1.86,107.44
339,FULT,14.45,-0.14,-0.96,14.59
340,VWAGY,17.8,-1.25,-6.56,19.05
341,SNN,27.71,-0.39,-1.39,28.1
342,PFGC,45.67,-0.65,-1.4,46.32
343,VLRS,10.42,-0.36,-3.34,10.78
344,MMC,154.61,-0.42,-0.27,155.03
345,AMKR,16.67,-0.09,-0.54,16.76
346,AMBA,65.68,-2.5,-3.67,68.18
347,EWBC,64.29,-2.14,-3.22,66.43
348,WPP,49.52,-0.23,-0.46,49.75
349,PSO,9.11,0.02,0.22,9.09
350,DRH,7.985,-0.2,-2.5,8.19
351,ITCB,2.773,-0.03,-0.96,2.8
352,CAKE,26.8,-0.66,-2.4,27.46
353,GLPG,54.53,-1.09,-1.96,55.62
354,MNDT,21.63,-0.1,-0.46,21.73
355,HST,15.485,-0.21,-1.37,15.7
356,XRX,14.78,-0.29,-1.92,15.07
357,OUKPY,3.68,-0.13,-3.41,3.81
358,AKZOY,21.122,-0.27,-1.25,21.39
359,BXBLY,14.919,-0.21,-1.39,15.13
360,JCYGY,40.59,0.0,0.0,40.59
361,RLI,114.655,0.28,0.25,114.37
362,PRDSY,11.13,0.0,0.0,11.13
363,AAON,52.9,0.32,0.61,52.58
364,SKHCF,22.496,0.0,0.0,22.496
365,EEFT,100.245,-2.72,-2.65,102.97
366,UPMMY,29.97,-1.38,-4.4,31.35
367,TRKNY,1.07,0.0,0.0,1.07
368,KIROY,11.02,0.0,0.0,11.02
369,ITMPF,2.032,-0.22,-9.69,2.25
370,LTHM,22.12,-0.67,-2.94,22.79
371,PWR,121.365,1.68,1.41,119.68
372,PWSC,12.005,-0.52,-4.19,12.53
373,ALGN,234.347,-7.8,-3.22,242.15
374,EFX,178.475,-1.69,-0.94,180.17
375,MAXR,25.3,-0.66,-2.54,25.96
376,SMG,79.06,-1.25,-1.56,80.31
377,CG,31.23,-1.22,-3.76,32.45
378,AES,20.37,0.01,0.05,20.36
379,VSAT,30.395,-0.29,-0.93,30.68
380,GTLS,160.32,0.27,0.17,160.05
381,MUR,30.65,-0.91,-2.88,31.56
382,PACW,26.27,-0.91,-3.35,27.18
383,DOV,121.065,-0.2,-0.16,121.26
384,CERE,26.97,-0.03,-0.11,27.0
385,CRSR,13.12,-0.4,-2.96,13.52
386,CYN,1.18,-0.05,-4.07,1.23
387,DWAC,24.32,1.75,7.75,22.57
388,BS6.SI,0.93,0.0,0.0,0.93
389,CRM,163.78,-6.83,-4.0,170.61
390,BORORENEW.NS,601.7,-51.7,-7.91,653.4
391,AWL.NS,574.15,-10.3,-1.76,584.45
392,RENUKA.NS,46.4,-0.9,-1.9,47.3
393,BX,89.21,-1.86,-2.04,91.07
394,SAP.DE,85.82,-4.35,-4.82,90.17
395,FING-B.ST,8.76,0.07,0.78,8.692
396,HOLN.SW,40.31,-1.31,-3.15,41.62
397,KER.PA,484.05,-16.55,-3.31,500.6
398,MITQ,1.28,-0.05,-3.76,1.33
399,CEI,0.407,0.02,4.36,0.39
